ApplicationElementName
JsonWebAccountsEdit
JsonWebAccountsGet
JsonWebAttendanceTimeInGetCurrentEmployeeAttendances
JsonWebAttendanceTimeInGetPreviousEmployeeAttendances
JsonWebAttendanceTimeInLogEmployeesAttendance
JsonWebLeavesGetLeavesForApproval
JsonWebLeavesLeaveApprove
JsonWebLeavesLeaveCancel
JsonWebLeavesLeaveCreate
JsonWebLeavesLeaveEdit
JsonWebLeavesLeaveGet
JsonWebLeavesLeaveGetEmployees
JsonWebLeavesLeaveGetEntitlements
JsonWebLeavesLeaveReject
JsonWebLeavesLeaveSearch
JsonWebLeavesLeaveVoid
JsonWebTimesheetsCreate
JsonWebTimesheetsEdit
JsonWebTimesheetsGet
JsonWebTimesheetsGetActiveProjects
JsonWebTimesheetsGetSpecificActivity
JsonWebTimesheetsSearch
MenuWebHumanResource
MenuWebHumanResourceEmployeeAttendanceHeader
MenuWebHumanResourceEmployeeAttendanceTimeIn
MenuWebHumanResourceEmployeeLeaves
MenuWebHumanResourceEmployeeLeavesHeader
MenuWebHumanResourceEmployeeTimesheets
MenuWebHumanResourceEmployeeTimesheets
MenuWebHumanResourceEmployeeTimesheetsHeader
ViewWebAccountsIndex
ViewWebAttendanceTimeInIndex
ViewWebHomeIndex
ViewWebLeavesLeaveIndex
ViewWebTimesheetsIndex
